Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
,Albania,41.1533,20.1683,05-02-2020,0,ALB,150,39,
,Albania,41.1533,20.1683,04-02-2020,0,ALB,150,39,
,Albania,41.1533,20.1683,03-02-2020,0,ALB,150,39,
,Albania,41.1533,20.1683,02-02-2020,0,ALB,150,39,
,Albania,41.1533,20.1683,01-02-2020,0,ALB,150,39,
,Albania,41.1533,20.1683,31-01-2020,0,ALB,150,39,
,Albania,41.1533,20.1683,30-01-2020,0,ALB,150,39,
,Albania,41.1533,20.1683,29-01-2020,0,ALB,150,39,
,Albania,41.1533,20.1683,28-01-2020,0,ALB,150,39,
,Albania,41.1533,20.1683,27-01-2020,0,ALB,150,39,
,Albania,41.1533,20.1683,26-01-2020,0,ALB,150,39,
,Albania,41.1533,20.1683,25-01-2020,0,ALB,150,39,
,Albania,41.1533,20.1683,24-01-2020,0,ALB,150,39,
,Albania,41.1533,20.1683,23-01-2020,0,ALB,150,39,
,Albania,41.1533,20.1683,22-01-2020,0,ALB,150,39,
,Algeria,28.0339,1.6596,15-05-2020,6629,DZA,2,15,
,Algeria,28.0339,1.6596,14-05-2020,6442,DZA,2,15,
,Algeria,28.0339,1.6596,13-05-2020,6253,DZA,2,15,
,Algeria,28.0339,1.6596,12-05-2020,6067,DZA,2,15,
,Algeria,28.0339,1.6596,11-05-2020,5891,DZA,2,15,
,Algeria,28.0339,1.6596,10-05-2020,5723,DZA,2,15,
,Algeria,28.0339,1.6596,09-05-2020,5558,DZA,2,15,
,Algeria,28.0339,1.6596,08-05-2020,5369,DZA,2,15,
,Algeria,28.0339,1.6596,07-05-2020,5182,DZA,2,15,
,Algeria,28.0339,1.6596,06-05-2020,4997,DZA,2,15,
,Algeria,28.0339,1.6596,05-05-2020,4838,DZA,2,15,
,Algeria,28.0339,1.6596,04-05-2020,4648,DZA,2,15,
,Algeria,28.0339,1.6596,03-05-2020,4474,DZA,2,15,
,Algeria,28.0339,1.6596,02-05-2020,4295,DZA,2,15,
,Algeria,28.0339,1.6596,01-05-2020,4154,DZA,2,15,
,Algeria,28.0339,1.6596,30-04-2020,4006,DZA,2,15,
,Algeria,28.0339,1.6596,29-04-2020,3848,DZA,2,15,
,Algeria,28.0339,1.6596,28-04-2020,3649,DZA,2,15,
,Algeria,28.0339,1.6596,27-04-2020,3517,DZA,2,15,
,Algeria,28.0339,1.6596,26-04-2020,3382,DZA,2,15,
,Algeria,28.0339,1.6596,25-04-2020,3256,DZA,2,15,
,Algeria,28.0339,1.6596,24-04-2020,3127,DZA,2,15,
,Algeria,28.0339,1.6596,23-04-2020,3007,DZA,2,15,
